VendorNumber,VendorName,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,total_Quantity,total_spend,unit_cost_incl_freight,avg_payment_days,margin_percent,risk_score,risk_band,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
3951,HIGHLAND WINE MERCHANTS LLC,15.225,22.49,715.91,372,5500.3200000000015,82.0,1533.6800000000005,18.7034,9.19,29.43,372,5529.75,14.8649,37.14,33.23,0.393,MEDIUM,-3966.6400000000012,-258.6354389442387,0.22043010752688172,0.2788346859819065
4848,LAIRD & CO,11.5317,19.74,777.31,21422,203011.57999999888,20141.0,213108.09000000157,10.5808,7770.52,1043.69,21422,204055.27,9.5255,36.56,27.97,0.391,MEDIUM,10096.510000002687,4.737741303017925,0.9402016618429652,1.0497336654391969
480,BACARDI USA INC,14.2561,23.2823,809.97,1427075,17624378.720000487,1457301.0,25014556.889805593,17.165,1365152.07,89286.27,1427075,17713664.990000006,12.4126,34.78,29.46,0.385,MEDIUM,7390178.169805106,29.54351021431402,1.0211803864548115,1.4193156699145706
9744,FREDERICK WILDMAN & SONS,11.4647,40.6981,795.72,70932,759449.2399999845,69327.0,1143044.5699996282,16.4877,14262.41,3999.93,70932,763449.1699999999,10.7631,35.85,41.51,0.385,MEDIUM,383595.3299996437,33.55908772654145,0.9773726949754694,1.5050967329951526
60,ADAMBA IMPORTS INTL INC,16.2309,16.99,1416.67,4732,76770.2500000001,3978.0,67576.22000000009,16.9875,7261.07,367.52,4732,77137.77000000002,16.3013,35.69,22.5,0.385,MEDIUM,-9194.030000000013,-13.60542214406192,0.8406593406593407,0.8802396761766439
10050,Russian Standard Vodka,13.4502,17.0669,665.38,12798,138907.27000000098,15207.0,139327.43000000628,9.1621,6152.4,732.6,12798,139639.87000000002,10.9111,36.47,28.04,0.383,MEDIUM,420.1600000053004,0.3015630159870755,1.1882325363338022,1.0030247516923
3252,E & J GALLO WINERY,7.2583,12.4435,1186.75,1858260,12289608.090004232,1809023.0,18556085.610076502,10.2575,508544.87,61966.91,1858260,12351575.0,6.6468,36.55,36.66,0.38,MEDIUM,6266477.52007227,33.770471055972,0.9735037077696339,1.5099005171018527
11567,CAMPARI AMERICA,15.6087,280.0631,775.34,501284,4141720.709999405,490456.0,5610527.440020345,11.4394,305737.58,20964.81,501284,4162685.5199999996,8.304,36.09,26.03,0.372,MEDIUM,1468806.7300209403,26.1794768089685,0.9783994701606276,1.3546368364421055
90059,BLACK COVE BEVERAGES,15.74,19.99,375.0,919,14465.059999999989,313.0,6256.869999999979,19.99,122.87,74.84,919,14539.899999999998,15.8214,36.88,21.26,0.372,MEDIUM,-8208.19000000001,-131.18683942610343,0.3405875952121872,0.43255057358904725
12546,JIM BEAM BRANDS COMPANY,12.8803,39.5982,869.22,2737165,24203151.05000248,2630226.0,31906320.53950222,12.1306,2249059.55,123880.97,2737165,24327032.019999996,8.8877,35.67,27.18,0.37,MEDIUM,7703169.489499737,24.14308312349173,0.9609307440362564,1.3182713471310152
